id,user_id,created_by_name,updated_at,created_at,active,type,event_at,event_id
4940,545,Joshua Graves,2023-10-23 23:30:30,2023-10-23 23:26:25,False,card,2023-10-23 23:30:30,00017a9e-67b3-4124-8a9e-c58c05680369
303,235,Victoria Thomas,2023-10-23 23:14:01,2023-10-23 23:09:56,True,card,2023-10-23 23:14:01,00101c06-31ac-452a-b3ab-973bf1456869
2240,608,Glenn Cook,2023-10-23 23:22:33,2023-10-23 23:16:52,False,card,2023-10-23 23:22:33,00165065-1f6b-45e0-8ff0-e69422ee1319
2433,483,Kimberly Harris,2023-10-23 23:28:43,2023-10-23 23:17:34,False,card,2023-10-23 23:28:43,002eae69-2bce-4491-8d04-eab12de23932
1134,7,Karina Kramer,2023-10-23 23:21:02,2023-10-23 23:12:58,False,card,2023-10-23 23:21:02,0033ce8a-996c-4067-b5d6-9bdbee3ec4df
4452,633,Jonathan Young,2023-10-23 23:24:47,2023-10-23 23:24:47,True,card,2023-10-23 23:24:47,00365aad-58a3-4114-8685-570ecad8add0
674,580,Andrea Newman,2023-10-23 23:11:18,2023-10-23 23:11:18,True,card,2023-10-23 23:11:18,003743d4-bc09-4a7c-8f66-0d9da9c59aa7
1771,242,Ronald Salazar,2023-10-23 23:15:12,2023-10-23 23:15:12,False,card,2023-10-23 23:15:12,0054c360-5c2b-4cba-b6f0-3d8cd4e97ce9
3883,52,Cynthia Williams,2023-10-23 23:29:45,2023-10-23 23:22:46,False,card,2023-10-23 23:29:45,00629910-dbd3-48d2-9978-47c83d3ab600
749,612,Michelle White,2023-10-23 23:14:11,2023-10-23 23:11:37,True,card,2023-10-23 23:14:11,00680e23-a839-4176-bb34-9da0dd91ffb6
3335,628,Stephanie Mendez,2023-10-23 23:20:52,2023-10-23 23:20:52,False,card,2023-10-23 23:20:52,00873073-1571-4f67-b8e6-0ed796fa4d9b
2228,390,Andrea Ochoa,2023-10-23 23:16:50,2023-10-23 23:16:50,False,card,2023-10-23 23:16:50,00907234-d2a5-49dd-9819-ba3e8b25c1ff
1782,546,Zachary Meyer,2023-10-23 23:28:59,2023-10-23 23:15:14,True,card,2023-10-23 23:28:59,009207e5-fcc4-4981-85fa-9c07910e0591
1893,516,Lisa Wilkinson,2023-10-23 23:15:35,2023-10-23 23:15:35,True,card,2023-10-23 23:15:35,0093dedb-d9ad-433a-8d31-bedf2d235a4d
3187,925,Samantha Gregory,2023-10-23 23:20:21,2023-10-23 23:20:21,True,card,2023-10-23 23:20:21,00a5a876-8157-4992-b6a5-1c0328388b52
233,667,Michael Clark,2023-10-23 23:17:14,2023-10-23 23:09:41,False,card,2023-10-23 23:17:14,00b39a3b-264e-4ac7-8e1f-6b2e0b808812
1528,81,Brian Sims,2023-10-23 23:16:41,2023-10-23 23:14:19,False,card,2023-10-23 23:16:41,00e0d842-5069-41a9-aa24-6e451868ad9f
664,419,Joseph Santiago,2023-10-23 23:23:01,2023-10-23 23:11:16,True,card,2023-10-23 23:23:01,00eb6ca6-57a9-4d5d-9b90-01832d359f23
4844,436,Marcus Moody,2023-10-23 23:26:04,2023-10-23 23:26:04,True,card,2023-10-23 23:26:04,00f93815-96d9-4883-9df9-f4568f8bea0e
1010,428,Kathryn Huffman,2023-10-23 23:14:43,2023-10-23 23:12:34,True,card,2023-10-23 23:14:43,00fb5077-881c-4706-bbbd-ad737a59c7dd
216,167,Allen Cunningham,2023-10-23 23:10:07,2023-10-23 23:09:39,True,card,2023-10-23 23:10:07,01090495-9cb1-4f05-8aed-9c144a9cd761
2426,429,Randy Thompson,2023-10-23 23:17:32,2023-10-23 23:17:32,False,card,2023-10-23 23:17:32,01163bbb-dbdf-41a8-a3b9-bda861a62f59
834,58,Jeffrey Johnson,2023-10-23 23:11:58,2023-10-23 23:11:58,True,card,2023-10-23 23:11:58,011b779b-42f5-40d1-9245-fc8a7fbf256d
4944,593,Shawn Hansen,2023-10-23 23:26:27,2023-10-23 23:26:27,False,card,2023-10-23 23:26:27,01350356-e92a-4660-8117-cbde9152a180
695,642,Leroy Mendoza,2023-10-23 23:13:22,2023-10-23 23:11:24,False,card,2023-10-23 23:13:22,015e2c57-2468-4e5e-82b6-601b11c20022
735,673,Dr. Jill Jones MD,2023-10-23 23:11:31,2023-10-23 23:11:31,True,card,2023-10-23 23:11:31,01634874-c47d-4c4f-affb-bf793db5b6c1
13,170,Shawn Fields,2023-10-23 23:11:59,2023-10-23 23:08:53,False,card,2023-10-23 23:11:59,01690bca-a5f6-4370-8f9e-6cf220d14bf7
779,102,Kimberly Schultz,2023-10-23 23:15:34,2023-10-23 23:11:44,True,card,2023-10-23 23:15:34,016f91e8-d12c-4c21-98b6-a0748f2372c2
74,811,Barbara Brown,2023-10-23 23:30:15,2023-10-23 23:09:08,True,card,2023-10-23 23:30:15,017f63f2-dbb5-4587-b5a7-65638f222654
2207,948,William Thompson,2023-10-23 23:16:47,2023-10-23 23:16:47,False,card,2023-10-23 23:16:47,019d5816-03af-4f28-894a-e38fbdad5e0d
4598,522,Michele Aguirre,2023-10-23 23:26:40,2023-10-23 23:25:15,False,card,2023-10-23 23:26:40,019f3681-bcee-4444-93e0-256d82121e2d
2069,657,Jacqueline Williams,2023-10-23 23:22:39,2023-10-23 23:16:14,True,card,2023-10-23 23:22:39,01d200ee-5ddf-43bc-95b0-482c48acf0f0
3713,918,Joshua Morris,2023-10-23 23:22:56,2023-10-23 23:22:13,False,card,2023-10-23 23:22:56,01d96036-1186-45d9-a095-1b95872c4bf4
2141,630,James Figueroa,2023-10-23 23:17:21,2023-10-23 23:16:31,True,card,2023-10-23 23:17:21,01de1f07-a4d2-4994-bcf2-127e2c24bce0
19,45,Kevin Jones,2023-10-23 23:10:28,2023-10-23 23:08:53,False,card,2023-10-23 23:10:28,01e0387f-86bf-4daa-adf8-7baccd8f233e
3618,862,James Simon,2023-10-23 23:21:55,2023-10-23 23:21:55,False,card,2023-10-23 23:21:55,01eee1f1-c296-4908-95e2-3ea37c233cd7
443,597,Teresa Keller,2023-10-23 23:15:43,2023-10-23 23:10:27,False,card,2023-10-23 23:15:43,020650ba-0465-4468-aeba-d05bd5fe18ae
